Date,Algerian dinar (DZD),Australian dollar(1),Botswana pula(1),Brazilian real (BRL),Brunei dollar (BND),Canadian dollar (CAD),Chilean peso (CLP),Chinese yuan (CNY),Czech koruna (CZK),Danish krone (DKK),Euro(1),Indian rupee (INR),Israeli New Shekel (ILS),Japanese yen (JPY),Korean won (KRW),Kuwaiti dinar (KWD),Malaysian ringgit (MYR),Mauritian rupee (MUR),Mexican peso (MXN),New Zealand dollar(1),Norwegian krone (NOK),Omani rial (OMR),Peruvian sol (PEN),Philippine peso (PHP),Polish zloty (PLN),Qatari riyal (QAR),Russian ruble (RUB),Saudi Arabian riyal (SAR),Singapore dollar (SGD),South African rand (ZAR),Swedish krona (SEK),Swiss franc (CHF),Thai baht (THB),Trinidadian dollar (TTD),U.A.E. dirham (AED),U.K. pound(1),U.S. dollar (USD),Uruguayan peso (UYU),Australian dollar (AUD),Bahrain dinar (BHD),Bolivar Fuerte (VEF),Bolivar Soberano (VES),Botswana pula (BWP),Colombian peso (COP),Euro (EUR),Hungarian forint (HUF),Icelandic krona (ISK),Indonesian rupiah (IDR),Iranian rial (IRR),Kazakhstani tenge (KZT),Libyan dinar (LYD),Nepalese rupee (NPR),New Zealand dollar (NZD),Pakistani rupee (PKR),Sri Lankan rupee (LKR),Tunisian dinar (TND),U.K. pound (GBP)
2024-09-24,132.4117,0.6839,0.076,5.4696,1.2901,1.3468,924.81,7.0371,22.585,6.6982,1.1133,83.6319,3.773,143.7,"1,335.500000",0.305,4.173,46.0393,19.3562,0.6266,10.4303,0.3845,3.761,55.795,3.83,3.64,92.8622,3.75,1.2901,17.4053,10.1442,0.8481,32.938,6.7796,3.6725,1.3365,1.0,42.254,1.3196,0.376,9.975,562.57,10.4822,2967.28,0.8618,256.46,112.665,13368.0,32428.3182,333.29,1.9324,101.89,1.4154,105.4158,151.6,2.3591,0.7265
2024-09-23,132.4988,0.6828,0.076,5.544,1.2918,1.351,927.15,7.0579,22.597,6.7075,1.1119,83.5128,3.779,142.64,"1,329.900000",0.3049,4.2125,46.1659,19.415,0.6234,10.5099,0.3845,3.761,55.555,3.8571,3.64,92.92,3.75,1.2918,17.4053,10.2185,0.8494,32.921,6.7796,3.6725,1.3302,1.0,42.104,1.3196,0.376,9.975,562.57,10.4822,2967.28,0.8618,256.46,112.665,13368.0,32428.3182,333.29,1.9324,101.89,1.4154,105.4158,151.6,2.3591,0.7265
2024-09-20,132.2783,0.6818,0.0759,5.4769,1.2898,1.3565,923.37,7.0526,22.459,6.6801,1.1166,83.4922,3.765,142.64,"1,331.800000",0.305,4.1815,46.1954,19.3725,0.6234,10.5078,0.3845,3.747,55.749,3.8317,3.64,92.5848,3.75,1.2898,17.5715,10.1926,0.8492,33.077,6.7822,3.6725,1.3284,1.0,41.677,1.3196,0.376,9.975,562.57,10.4822,2967.28,0.8618,256.46,112.665,13368.0,32428.3182,333.29,1.9324,101.89,1.4154,105.4158,151.6,2.3591,0.7265
2024-09-19,132.1334,0.6801,0.0757,5.4183,1.2953,1.3563,923.37,7.0701,22.483,6.6863,1.1156,83.6172,3.759,143.54,"1,331.000000",0.305,4.253,46.001,19.2773,0.6202,10.4588,0.3845,3.744,55.783,3.8249,3.64,92.6962,3.75,1.2953,17.467,10.1448,0.8457,33.325,6.7726,3.6725,1.3294,1.0,41.599,1.3196,0.376,9.975,562.57,10.4822,2967.28,0.8618,256.46,112.665,13368.0,32428.3182,333.29,1.9324,101.89,1.4154,105.4158,151.6,2.3591,0.7265
2024-09-18,132.2638,0.6761,0.0756,5.4761,1.2941,1.359,923.37,7.0907,22.537,6.7074,1.1124,83.8302,3.773,141.58,"1,339.600000",0.3048,4.243,46.0992,19.3033,0.6206,10.5855,0.3845,3.757,55.764,3.8358,3.64,91.6712,3.75,1.2941,17.5528,10.1798,0.843,33.335,6.7767,3.6725,1.3212,1.0,41.307,1.3196,0.376,9.975,562.57,10.4822,2967.28,0.8618,256.46,112.665,13368.0,32428.3182,333.29,1.9324,101.89,1.4154,105.4158,151.6,2.3591,0.7265
2024-09-17,132.2747,0.6748,0.0756,5.5004,1.2949,1.3596,923.37,7.0968,22.55,6.6991,1.1139,83.8302,3.745,140.7,"1,339.600000",0.3048,4.281,45.9981,19.267,0.6191,10.5831,0.3845,3.772,55.888,3.8354,3.64,91.4292,3.75,1.2949,17.6419,10.1665,0.8447,33.275,6.7685,3.6725,1.3212,1.0,41.063,1.3196,0.376,9.975,562.57,10.4822,2967.28,0.8618,256.46,112.665,13368.0,32428.3182,333.29,1.9324,101.89,1.4154,105.4158,151.6,2.3591,0.7265
2024-09-16,132.2348,0.6727,0.0754,5.5201,1.2954,1.3593,925.61,7.0968,22.59,6.7069,1.1126,83.918,3.742,141.5,"1,339.600000",0.3048,4.3175,46.3287,19.2483,0.6156,10.5878,0.3845,3.779,56.015,3.8438,3.64,91.1423,3.75,1.2954,17.6494,10.1739,0.8448,33.2,6.759,3.6725,1.3194,1.0,40.956,1.3196,0.376,9.975,562.57,10.4822,2967.28,0.8618,256.46,112.665,13368.0,32428.3182,333.29,1.9324,101.89,1.4154,105.4158,151.6,2.3591,0.7265
2024-09-13,132.2158,0.6722,0.0752,5.5711,1.2989,1.3586,933.57,7.0968,22.682,6.7347,1.1081,83.918,3.707,141.5,"1,339.600000",0.3052,4.3175,46.1913,19.2483,0.618,10.6935,0.3845,3.763,56.069,3.8659,3.64,90.9345,3.75,1.2989,17.7564,10.2549,0.8484,33.319,6.7478,3.6725,1.3127,1.0,40.767,1.3196,0.376,9.975,562.57,10.4822,2967.28,0.8618,256.46,112.665,13368.0,32428.3182,333.29,1.9324,101.89,1.4154,105.4158,151.6,2.3591,0.7265
2024-09-12,132.6036,0.6693,0.0748,5.6548,1.304,1.3591,943.44,7.1242,22.796,6.7738,1.1016,83.9843,3.753,142.76,"1,340.300000",0.3052,4.3335,46.4629,19.5887,0.6132,10.8333,0.3845,3.766,56.132,3.9025,3.64,91.1096,3.75,1.304,17.9737,10.3613,0.8541,33.743,6.7533,3.6725,1.3052,1.0,41.071,1.3196,0.376,9.975,562.57,10.4822,2967.28,0.8618,256.46,112.665,13368.0,32428.3182,333.29,1.9324,101.89,1.4154,105.4158,151.6,2.3591,0.7265
2024-09-11,132.4112,0.6659,0.075,5.6381,1.3024,1.3589,948.85,7.1136,22.724,6.7576,1.1043,83.9508,3.768,141.0,"1,344.300000",0.305,4.337,46.3343,19.839,0.6149,10.8096,0.3845,3.786,56.487,3.8816,3.64,91.2653,3.75,1.3024,17.862,10.355,0.8463,33.611,6.7331,3.6725,1.3088,1.0,41.027,1.3196,0.376,9.975,562.57,10.4822,2967.28,0.8618,256.46,112.665,13368.0,32428.3182,333.29,1.9324,101.89,1.4154,105.4158,151.6,2.3591,0.7265
